what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1321139442066
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1321139442066
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1321139442067
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1321139442067
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321139442068
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1321139442068
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321139442069
os,sysinfo,,,"linux",1321139442072
arch,sysinfo,,,"x86",1321139442072
ws,sysinfo,,,"gtk",1321139442072
locale,sysinfo,,,"pt_BR",1321139442072
processors,sysinfo,,,"2",1321139442072
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1321139442072
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1321139442072
java.specification.name,sysinfo,,,"Java Platform API Specification",1321139442072
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321139442072
java.specification.version,sysinfo,,,"1.6",1321139442072
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321139442072
java.version,sysinfo,,,"1.6.0_23",1321139442072
java.vm.info,sysinfo,,,"mixed mode, sharing",1321139442072
java.vm.name,sysinfo,,,"OpenJDK Client VM",1321139442072
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321139442072
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321139442072
java.vm.specification.version,sysinfo,,,"1.0",1321139442072
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321139442072
java.vm.version,sysinfo,,,"20.0-b11",1321139442072
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1321139446837
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1321139446840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139447794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321139454632
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1321139459748
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1321139459835
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1321139459840
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1321139459886
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1321139459897
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1321139459909
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1321139459912
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1321139473059
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1321139496542
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1321139496581
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1321139496608
