what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui.view.systemTableView",1321139562274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1321139562326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1321139562326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139562346
activated,view,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui.view.systemView",1321139568027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139577014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1321139586973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139586989
activated,perspective,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.CPerspective",1321139587926
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1321139587930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139590851
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321139617962
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1321139619896
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1321139619900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1321139690827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139690838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139690840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139693341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139696226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139785506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321139786409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321140432512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321140434895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321140607682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321140609392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148362942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148367008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321148383142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1321148398387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148398472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148398473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148399341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148401130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148412777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148413351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148414710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148415919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148475204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148478279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321148484286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321148912695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1321148928783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148928794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148928795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148929789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148932093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321148936399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1321148956978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148956989
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321148959246
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1321148962331
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1321148962332
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1321148962335
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1321148962336
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1321148962336
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201109151620,"org.eclipse.cdt.launch.remote",1321148962336
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1321148962336
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1321148962336
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201109151620,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1321148962336
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.search",1321148962340
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201109151620,"org.eclipse.cdt.dsf.gdb.ui",1321148962340
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201109151620,"org.eclipse.cdt.dsf.ui",1321148962340
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201109151620,"org.eclipse.cdt.gdb.ui",1321148962340
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.1.201109151620,"org.eclipse.cdt.dsf.gdb",1321148962340
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201109151620,"org.eclipse.cdt.launch",1321148962340
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1321148962341
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.traditional",1321148962341
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201109151620,"org.eclipse.cdt.dsf",1321148962341
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1321148962341
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201108301805,"org.eclipse.linuxtools.cdt.autotools.ui",1321148962341
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1321148962341
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1321148962341
stopped,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1321148962342
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1321148962342
